Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,33,30,3,10,23,11,11,NA,2,9,2,2,NA,2,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,0,0,NA,0,0,2,2,NA,NA,2,6,6,NA,5,1,1,1,NA,0,1,3,0,3,NA,3,6,6,NA,NA,6,1,1,NA,1,NA
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,11,11,0,3,8,4,4,NA,2,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,1,NA,NA,1,1,1,NA,0,1,0,0,NA,0,0,0,0,0,NA,0,4,4,NA,NA,4,1,1,NA,1,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,2,2,0,2,0,2,2,NA,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,5316,5269,47,1370,3946,547,547,NA,111,436,461,461,NA,0,461,290,290,NA,0,290,43,43,NA,0,43,741,741,NA,NA,741,319,319,NA,0,319,362,362,NA,NA,362,560,560,NA,190,370,375,375,NA,23,352,202,155,47,NA,202,370,370,NA,NA,370,1046,1046,NA,1046,NA
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,5391,5166,225,1544,3847,447,447,NA,98,349,522,522,NA,132,390,218,218,NA,14,204,242,242,NA,0,242,528,528,NA,NA,528,294,294,NA,9,285,372,372,NA,NA,372,668,668,NA,215,453,327,327,NA,21,306,365,140,225,NA,365,353,353,NA,NA,353,1055,1055,NA,1055,NA
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,244,186,58,35,209,45,45,NA,0,45,7,7,NA,7,0,3,3,NA,0,3,0,0,NA,0,0,47,47,NA,NA,47,8,8,NA,5,3,8,8,NA,NA,8,33,33,NA,19,14,10,10,NA,0,10,59,1,58,NA,59,20,20,NA,NA,20,4,4,NA,4,NA
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,241,226,15,28,213,0,0,NA,0,0,5,5,NA,5,0,1,1,NA,0,1,0,0,NA,0,0,21,21,NA,NA,21,0,0,NA,0,0,0,0,NA,NA,0,19,19,NA,19,0,0,0,NA,0,0,15,0,15,NA,15,176,176,NA,NA,176,4,4,NA,4,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,141,141,0,123,18,0,0,NA,0,0,0,0,NA,0,0,123,123,NA,123,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,0,4,14,14,0,NA,14,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,473,473,0,145,328,0,0,NA,0,0,0,0,NA,0,0,122,122,NA,122,0,0,0,NA,0,0,289,289,NA,NA,289,0,0,NA,0,0,39,39,NA,NA,39,0,0,NA,0,0,23,23,NA,23,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,4,4,NA,1,3,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,1,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,1,1,NA,0,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,10,10,NA,1,9,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,9,9,NA,NA,9,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,1,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,5757,2543,3214,497,5260,256,256,NA,106,150,110,110,NA,44,66,111,111,NA,50,61,73,73,NA,10,63,131,131,NA,NA,131,118,118,NA,7,111,97,97,NA,NA,97,233,233,NA,91,142,216,216,NA,13,203,4062,848,3214,NA,4062,174,174,NA,NA,174,176,176,NA,176,NA
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,1168,765,403,136,1032,150,150,NA,0,150,38,38,NA,10,28,87,87,NA,50,37,47,47,NA,0,47,32,32,NA,NA,32,61,61,NA,NA,61,62,62,NA,NA,62,21,21,NA,0,21,94,94,NA,13,81,403,0,403,NA,403,110,110,NA,NA,110,63,63,NA,63,NA
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,1025,1025,NA,81,944,120,120,NA,0,120,71,71,NA,0,71,57,57,NA,0,57,53,53,NA,0,53,87,87,NA,NA,87,84,84,NA,0,84,76,76,NA,NA,76,125,125,NA,0,125,116,116,NA,0,116,32,32,NA,NA,32,123,123,NA,NA,123,81,81,NA,81,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,1582,307,1275,43,1539,0,0,NA,0,0,2,2,NA,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,30,30,NA,30,0,0,0,NA,0,0,1539,264,1275,NA,1539,0,0,NA,NA,0,11,11,NA,11,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,188,3,185,3,185,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,185,0,185,NA,185,0,0,NA,NA,0,3,3,NA,3,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,2966,1363,1603,269,2697,132,132,NA,58,74,68,68,NA,27,41,66,66,NA,33,33,37,37,NA,4,33,82,82,NA,NA,82,61,61,NA,5,56,57,57,NA,NA,57,129,129,NA,47,82,116,116,NA,7,109,2035,432,1603,NA,2035,95,95,NA,NA,95,88,88,NA,88,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,2782,1171,1611,228,2554,120,120,NA,47,73,42,42,NA,17,25,45,45,NA,17,28,36,36,NA,6,30,49,49,NA,NA,49,64,64,NA,2,62,43,43,NA,NA,43,103,103,NA,43,60,100,100,NA,6,94,2011,400,1611,NA,2011,79,79,NA,NA,79,90,90,NA,90,NA
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,88,76,12,4,84,2,2,NA,2,0,6,6,NA,2,4,0,0,NA,0,0,0,0,NA,0,0,14,14,NA,NA,14,6,6,NA,0,6,5,5,NA,NA,5,0,0,NA,0,0,2,2,NA,0,2,39,27,12,NA,39,14,14,NA,NA,14,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,44,33,11,2,42,4,4,NA,1,3,1,1,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,1,1,NA,1,0,0,0,NA,0,0,38,27,11,NA,38,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,125,115,10,74,51,0,0,NA,0,0,11,11,NA,0,11,7,7,NA,0,7,0,0,NA,0,0,5,5,NA,NA,5,0,0,NA,0,0,7,7,NA,NA,7,3,3,NA,0,3,4,4,NA,1,3,13,3,10,NA,13,2,2,NA,NA,2,73,73,NA,73,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,96,88,8,82,14,1,1,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,1,NA,NA,1,8,8,NA,8,0,1,1,NA,1,0,8,0,8,NA,8,4,4,NA,NA,4,73,73,NA,73,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,NA,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,NA,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,NA,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,5737,2523,3214,497,5240,252,252,NA,105,147,110,110,NA,44,66,111,111,NA,50,61,73,73,NA,10,63,119,119,NA,NA,119,121,121,NA,7,114,96,96,NA,NA,96,232,232,NA,90,142,216,216,NA,13,203,4046,832,3214,NA,4046,183,183,NA,NA,183,178,178,NA,178,NA
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,188,143,45,59,129,11,11,NA,5,6,3,3,NA,1,2,2,2,NA,2,0,5,5,NA,2,3,10,10,NA,NA,10,17,17,NA,0,17,5,5,NA,NA,5,39,39,NA,37,2,4,4,NA,4,0,67,22,45,NA,67,17,17,NA,NA,17,8,8,NA,8,NA
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,5435,2221,3214,483,4952,252,252,NA,105,147,110,110,NA,44,66,109,109,NA,50,59,71,71,NA,10,61,119,119,NA,NA,119,121,121,NA,7,114,96,96,NA,NA,96,232,232,NA,90,142,196,196,NA,13,183,3782,568,3214,NA,3782,183,183,NA,NA,183,164,164,NA,164,NA
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,66,66,0,48,18,48,48,NA,48,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,9,9,NA,NA,9,0,0,NA,0,0,1,1,NA,NA,1,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,8,8,NA,NA,8,0,0,NA,0,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,16,16,0,7,9,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,1,1,NA,1,0,9,9,NA,NA,9,0,0,NA,0,NA,0,0,NA,NA,0,6,6,NA,6,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,3,3,0,1,2,1,1,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,NA,NA,1,1,1,NA,1,NA
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,3145,1032,2113,266,2879,219,219,NA,105,114,44,44,NA,0,44,16,16,NA,0,16,66,66,NA,10,56,53,53,NA,NA,53,56,56,NA,0,56,127,127,NA,NA,127,4,4,NA,0,4,113,113,NA,0,113,2141,28,2113,NA,2141,155,155,NA,NA,155,151,151,NA,151,NA
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,1476,1194,282,319,1157,153,153,NA,105,48,172,172,NA,102,70,17,17,NA,0,17,41,41,NA,10,31,75,75,NA,NA,75,75,75,NA,7,68,146,146,NA,NA,146,114,114,NA,0,114,142,142,NA,10,132,298,16,282,NA,298,158,158,NA,NA,158,85,85,NA,85,NA
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,1167,881,286,254,913,143,143,NA,105,38,150,150,NA,102,48,17,17,NA,0,17,15,15,NA,10,5,67,67,NA,NA,67,60,60,NA,7,53,99,99,NA,NA,99,114,114,NA,0,114,71,71,NA,0,71,295,9,286,NA,295,106,106,NA,NA,106,30,30,NA,30,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,282,266,16,168,114,9,9,NA,8,1,22,22,NA,7,15,2,2,NA,0,2,7,7,NA,NA,7,10,10,NA,NA,10,153,153,NA,146,7,10,10,NA,NA,10,40,40,NA,7,33,7,7,NA,0,7,18,2,16,NA,18,4,4,NA,NA,4,0,0,NA,0,NA
