Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,164,154,10,69,95,22,22,NA,10,12,16,16,NA,12,4,0,0,NA,0,0,0,0,NA,0,0,8,8,NA,NA,8,0,0,NA,0,0,22,22,NA,NA,22,42,42,NA,33,9,5,5,NA,0,5,12,2,10,NA,12,23,23,NA,NA,23,14,14,NA,14,NA
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,62,61,1,22,40,15,15,NA,10,5,2,2,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,5,5,NA,NA,5,0,0,NA,0,0,2,2,NA,NA,2,9,9,NA,0,9,0,0,NA,0,0,2,1,1,NA,2,15,15,NA,NA,15,12,12,NA,12,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,132,132,0,5,127,3,3,NA,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,2,2,NA,2,0,0,0,NA,0,0,127,127,0,NA,127,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,29219,29018,201,7669,21550,3032,3032,NA,171,2861,2228,2228,NA,235,1993,1947,1947,NA,0,1947,264,264,NA,0,264,3770,3770,NA,NA,3770,1707,1707,NA,63,1644,2080,2080,NA,NA,2080,3249,3249,NA,1374,1875,2220,2220,NA,155,2065,1278,1077,201,2,1276,1775,1775,NA,NA,1775,5669,5669,NA,5669,NA
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,29296,28848,448,8294,21002,1912,1912,NA,572,1340,2765,2765,NA,745,2020,1530,1530,NA,79,1451,1411,1411,NA,0,1411,3814,3814,NA,NA,3814,1603,1603,NA,127,1476,2021,2021,NA,NA,2021,3440,3440,NA,924,2516,1934,1934,NA,151,1783,1459,1011,448,5,1454,1716,1716,NA,NA,1716,5691,5691,NA,5691,NA
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,866,801,65,151,715,93,93,NA,7,86,58,58,NA,42,16,21,21,NA,0,21,4,4,NA,0,4,100,100,NA,NA,100,65,65,NA,18,47,127,127,NA,NA,127,128,128,NA,71,57,28,28,NA,1,27,74,9,65,0,74,156,156,NA,NA,156,12,12,NA,12,NA
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,403,383,20,114,289,7,7,NA,7,0,23,23,NA,23,0,3,3,NA,0,3,4,4,NA,0,4,54,54,NA,NA,54,3,3,NA,0,3,8,8,NA,NA,8,72,72,NA,71,1,1,1,NA,1,0,20,0,20,0,20,196,196,NA,NA,196,12,12,NA,12,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,379,370,9,253,126,0,0,NA,0,0,33,33,NA,0,33,123,123,NA,123,0,0,0,NA,0,0,0,0,NA,NA,0,22,22,NA,0,22,0,0,NA,NA,0,0,0,NA,0,0,156,156,NA,130,26,42,33,9,NA,42,3,3,NA,NA,3,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,26,26,NA,NA,26,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,6,6,NA,NA,6,0,0,NA,NA,0,10,10,NA,NA,10,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,10,10,NA,NA,10,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,2108,2108,0,523,1585,0,0,NA,0,0,0,0,NA,0,0,370,370,NA,370,0,0,0,NA,0,0,1221,1221,NA,NA,1221,63,63,NA,63,0,314,314,NA,NA,314,0,0,NA,0,0,90,90,NA,90,0,50,50,0,NA,50,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,25,25,NA,12,13,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,2,2,NA,NA,2,0,0,NA,NA,0,4,4,NA,NA,4,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,3,3,NA,NA,3,12,12,NA,12,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,14,14,NA,7,7,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,NA,4,7,7,NA,7,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,15,15,NA,4,11,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,9,9,NA,NA,9,2,2,NA,NA,2,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,4,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,36365,15670,20695,2953,33412,1486,1486,NA,587,899,679,679,NA,255,424,619,619,NA,306,313,503,503,NA,41,462,936,936,NA,NA,936,698,698,NA,78,620,634,634,NA,NA,634,1381,1381,NA,592,789,1271,1271,NA,92,1179,26084,5389,20695,NA,26084,1072,1072,NA,NA,1072,1002,1002,NA,1002,NA
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,6892,4709,2183,674,6218,968,968,NA,69,899,163,163,NA,33,130,313,313,NA,103,210,313,313,NA,0,313,377,377,NA,NA,377,298,298,NA,0,298,413,413,NA,NA,413,179,179,NA,0,179,512,512,NA,73,439,2183,0,2183,NA,2183,777,777,NA,NA,777,396,396,NA,396,NA
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,5885,5885,NA,481,5404,823,823,NA,0,823,224,224,NA,0,224,258,258,NA,0,258,343,343,NA,0,343,512,512,NA,NA,512,407,407,NA,0,407,515,515,NA,NA,515,664,664,NA,0,664,672,672,NA,0,672,177,177,NA,NA,177,809,809,NA,NA,809,481,481,NA,481,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,8602,1857,6745,295,8307,0,0,NA,0,0,2,2,NA,2,0,0,0,NA,0,0,0,0,NA,0,0,25,25,NA,NA,25,0,0,NA,0,0,0,0,NA,NA,0,218,218,NA,217,1,0,0,NA,0,0,8281,1536,6745,NA,8281,0,0,NA,NA,0,76,76,NA,76,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,932,238,694,21,911,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,910,216,694,NA,910,0,0,NA,NA,0,21,21,NA,21,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,18562,8199,10363,1523,17039,763,763,NA,301,462,356,356,NA,137,219,336,336,NA,157,179,276,276,NA,20,256,511,511,NA,NA,511,358,358,NA,43,315,333,333,NA,NA,333,738,738,NA,303,435,681,681,NA,49,632,13108,2745,10363,NA,13108,589,589,NA,NA,589,513,513,NA,513,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,17680,7348,10332,1429,16251,710,710,NA,280,430,318,318,NA,117,201,281,281,NA,147,134,226,226,NA,20,206,419,419,NA,NA,419,349,349,NA,34,315,308,308,NA,NA,308,634,634,NA,281,353,590,590,NA,43,547,12852,2520,10332,NA,12852,486,486,NA,NA,486,507,507,NA,507,NA
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,810,776,34,44,766,10,10,NA,10,0,18,18,NA,12,6,2,2,NA,0,2,2,2,NA,0,2,60,60,NA,NA,60,14,14,NA,4,10,68,68,NA,NA,68,27,27,NA,0,27,38,38,NA,0,38,516,482,34,NA,516,37,37,NA,NA,37,18,18,NA,18,NA
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,273,218,55,25,248,13,13,NA,7,6,6,6,NA,1,5,2,2,NA,2,0,1,1,NA,1,0,7,7,NA,NA,7,2,2,NA,1,1,4,4,NA,NA,4,9,9,NA,8,1,1,1,NA,0,1,217,162,55,NA,217,6,6,NA,NA,6,5,5,NA,5,NA
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,690,639,51,421,269,0,0,NA,0,0,44,44,NA,0,44,14,14,NA,0,14,0,0,NA,0,0,33,33,NA,NA,33,5,5,NA,0,5,39,39,NA,NA,39,20,20,NA,0,20,21,21,NA,3,18,90,39,51,NA,90,6,6,NA,NA,6,418,418,NA,418,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,606,559,47,461,145,3,3,NA,0,3,5,5,NA,5,0,2,2,NA,0,2,0,0,NA,0,0,17,17,NA,NA,17,3,3,NA,0,3,9,9,NA,NA,9,62,62,NA,43,19,14,14,NA,2,12,59,12,47,NA,59,21,21,NA,NA,21,411,411,NA,411,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,14,13,1,7,7,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,3,3,NA,0,3,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,3,2,1,NA,3,0,0,NA,NA,0,7,7,NA,7,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,NA,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,NA,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,8,8,0,0,8,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,8,8,0,NA,8,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,36062,15367,20695,2927,33135,1475,1475,NA,581,894,672,672,NA,255,417,617,617,NA,304,313,500,500,NA,40,460,846,846,NA,NA,846,689,689,NA,68,621,616,616,NA,NA,616,1372,1372,NA,584,788,1249,1249,NA,82,1167,25959,5264,20695,NA,25959,1054,1054,NA,NA,1054,1013,1013,NA,1013,NA
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,1883,1730,153,323,1560,85,85,NA,26,59,39,39,NA,28,11,23,23,NA,20,3,18,18,NA,5,13,62,62,NA,NA,62,73,73,NA,14,59,41,41,NA,NA,41,195,195,NA,165,30,51,51,NA,31,20,1182,1029,153,NA,1182,80,80,NA,NA,80,34,34,NA,34,NA
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,34690,13995,20695,2921,31769,1474,1474,NA,581,893,668,668,NA,253,415,611,611,NA,304,307,499,499,NA,40,459,821,821,NA,NA,821,695,695,NA,77,618,621,621,NA,NA,621,1371,1371,NA,584,787,1167,1167,NA,91,1076,24709,4014,20695,NA,24709,1063,1063,NA,NA,1063,991,991,NA,991,NA
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,756,756,0,297,459,187,187,NA,187,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,63,63,NA,NA,63,0,0,NA,0,0,3,3,NA,NA,3,77,77,NA,77,0,3,3,NA,3,0,385,385,0,NA,385,8,8,NA,NA,8,30,30,NA,30,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,283,283,0,97,186,0,0,NA,0,NA,4,4,NA,4,0,0,0,NA,0,NA,1,1,NA,1,0,36,36,NA,NA,36,0,0,NA,0,NA,0,0,NA,NA,0,92,92,NA,92,0,0,0,NA,0,NA,150,150,0,NA,150,0,0,NA,NA,0,0,0,NA,0,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,11,11,0,8,3,2,2,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,NA,NA,1,8,8,NA,8,NA
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,18959,6543,12416,1712,17247,1173,1173,NA,429,744,301,301,NA,51,250,159,159,NA,34,125,408,408,NA,31,377,357,357,NA,NA,357,390,390,NA,28,362,571,571,NA,NA,571,563,563,NA,302,261,749,749,NA,7,742,12713,297,12416,NA,12713,745,745,NA,NA,745,830,830,NA,830,NA
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,9062,7553,1509,1573,7489,449,449,NA,334,115,666,666,NA,437,229,169,169,NA,0,169,276,276,NA,41,235,396,396,NA,NA,396,439,439,NA,78,361,678,678,NA,NA,678,823,823,NA,162,661,785,785,NA,17,768,2968,1459,1509,NA,2968,909,909,NA,NA,909,504,504,NA,504,NA
