Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,24506,24331,175,6505,18001,2575,2575,NA,143,2432,1851,1851,NA,235,1616,1608,1608,NA,0,1608,188,188,NA,0,188,3147,3147,NA,NA,3147,1403,1403,NA,63,1340,1763,1763,NA,NA,1763,2811,2811,NA,1164,1647,1876,1876,NA,131,1745,1087,912,175,0,1087,1428,1428,NA,NA,1428,4769,4769,NA,4769,NA
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,24414,24026,388,7015,17399,1462,1462,NA,476,986,2321,2321,NA,615,1706,1266,1266,NA,65,1201,1138,1138,NA,0,1138,3178,3178,NA,NA,3178,1336,1336,NA,117,1219,1752,1752,NA,NA,1752,2924,2924,NA,801,2123,1630,1630,NA,127,1503,1202,814,388,3,1199,1394,1394,NA,NA,1394,4811,4811,NA,4811,NA
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,730,666,64,133,597,69,69,NA,5,64,46,46,NA,35,11,21,21,NA,0,21,2,2,NA,0,2,94,94,NA,NA,94,34,34,NA,17,17,125,125,NA,NA,125,105,105,NA,65,40,25,25,NA,1,24,68,4,64,0,68,131,131,NA,NA,131,10,10,NA,10,NA
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,379,359,20,99,280,5,5,NA,5,0,18,18,NA,18,0,3,3,NA,0,3,2,2,NA,0,2,49,49,NA,NA,49,2,2,NA,0,2,7,7,NA,NA,7,66,66,NA,65,1,1,1,NA,1,0,20,0,20,0,20,196,196,NA,NA,196,10,10,NA,10,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,351,342,9,229,122,0,0,NA,0,0,33,33,NA,0,33,123,123,NA,123,0,0,0,NA,0,0,0,0,NA,NA,0,22,22,NA,0,22,0,0,NA,NA,0,0,0,NA,0,0,128,128,NA,106,22,42,33,9,NA,42,3,3,NA,NA,3,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,26,26,NA,NA,26,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,6,6,NA,NA,6,0,0,NA,NA,0,10,10,NA,NA,10,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,10,10,NA,NA,10,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,1755,1755,0,373,1382,0,0,NA,0,0,0,0,NA,0,0,244,244,NA,244,0,0,0,NA,0,0,1075,1075,NA,NA,1075,63,63,NA,63,0,257,257,NA,NA,257,0,0,NA,0,0,66,66,NA,66,0,50,50,0,NA,50,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,25,25,NA,12,13,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,2,2,NA,NA,2,0,0,NA,NA,0,4,4,NA,NA,4,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,3,3,NA,NA,3,12,12,NA,12,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,12,12,NA,5,7,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,NA,4,5,5,NA,5,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,14,14,NA,4,10,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,9,9,NA,NA,9,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,4,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,29723,12583,17140,2347,27376,1207,1207,NA,480,727,548,548,NA,204,344,487,487,NA,234,253,388,388,NA,35,353,759,759,NA,NA,759,566,566,NA,60,506,513,513,NA,NA,513,1066,1066,NA,462,604,1043,1043,NA,76,967,21498,4358,17140,NA,21498,852,852,NA,NA,852,796,796,NA,796,NA
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,5614,3849,1765,565,5049,796,796,NA,69,727,122,122,NA,28,94,284,284,NA,103,181,231,231,NA,0,231,344,344,NA,NA,344,249,249,NA,0,249,352,352,NA,NA,352,153,153,NA,0,153,425,425,NA,73,352,1765,0,1765,NA,1765,601,601,NA,NA,601,292,292,NA,292,NA
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,4748,4748,NA,404,4344,664,664,NA,0,664,179,179,NA,0,179,219,219,NA,0,219,279,279,NA,0,279,414,414,NA,NA,414,336,336,NA,0,336,383,383,NA,NA,383,509,509,NA,0,509,561,561,NA,0,561,151,151,NA,NA,151,649,649,NA,NA,649,404,404,NA,404,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,7008,1493,5515,233,6775,0,0,NA,0,0,2,2,NA,2,0,0,0,NA,0,0,0,0,NA,0,0,12,12,NA,NA,12,0,0,NA,0,0,0,0,NA,NA,0,171,171,NA,170,1,0,0,NA,0,0,6762,1247,5515,NA,6762,0,0,NA,NA,0,61,61,NA,61,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,707,125,582,15,692,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,692,110,582,NA,692,0,0,NA,NA,0,15,15,NA,15,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,15216,6609,8607,1207,14009,620,620,NA,249,371,290,290,NA,110,180,259,259,NA,114,145,213,213,NA,18,195,425,425,NA,NA,425,294,294,NA,36,258,279,279,NA,NA,279,564,564,NA,233,331,551,551,NA,40,511,10836,2229,8607,NA,10836,478,478,NA,NA,478,407,407,NA,407,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,14406,5873,8533,1142,13264,576,576,NA,226,350,256,256,NA,94,162,226,226,NA,118,108,174,174,NA,16,158,331,331,NA,NA,331,282,282,NA,24,258,241,241,NA,NA,241,493,493,NA,221,272,492,492,NA,36,456,10551,2018,8533,NA,10551,377,377,NA,NA,377,407,407,NA,407,NA
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,669,642,27,18,651,8,8,NA,8,0,16,16,NA,10,6,1,1,NA,0,1,0,0,NA,0,0,46,46,NA,NA,46,9,9,NA,0,9,30,30,NA,NA,30,26,26,NA,0,26,32,32,NA,0,32,471,444,27,NA,471,30,30,NA,NA,30,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,222,176,46,20,202,10,10,NA,5,5,3,3,NA,0,3,2,2,NA,2,0,1,1,NA,1,0,4,4,NA,NA,4,1,1,NA,0,1,4,4,NA,NA,4,9,9,NA,8,1,1,1,NA,0,1,178,132,46,NA,178,5,5,NA,NA,5,4,4,NA,4,NA
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,591,543,48,358,233,0,0,NA,0,0,38,38,NA,0,38,14,14,NA,0,14,0,0,NA,0,0,30,30,NA,NA,30,3,3,NA,0,3,33,33,NA,NA,33,18,18,NA,0,18,20,20,NA,3,17,75,27,48,NA,75,5,5,NA,NA,5,355,355,NA,355,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,515,470,45,394,121,1,1,NA,0,1,5,5,NA,5,0,0,0,NA,0,0,0,0,NA,0,0,14,14,NA,NA,14,3,3,NA,0,3,8,8,NA,NA,8,53,53,NA,38,15,14,14,NA,2,12,49,4,45,NA,49,19,19,NA,NA,19,349,349,NA,349,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,12,11,1,6,6,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,3,3,NA,0,3,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,2,1,1,NA,2,0,0,NA,NA,0,6,6,NA,6,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,NA,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,NA,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,2,2,0,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,2,2,0,NA,2,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,29490,12350,17140,2324,27166,1198,1198,NA,475,723,543,543,NA,204,339,485,485,NA,232,253,385,385,NA,34,351,712,712,NA,NA,712,557,557,NA,50,507,501,501,NA,NA,501,1057,1057,NA,454,603,1021,1021,NA,66,955,21386,4246,17140,NA,21386,836,836,NA,NA,836,809,809,NA,809,NA
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,1392,1277,115,258,1134,75,75,NA,22,53,25,25,NA,16,9,10,10,NA,10,0,14,14,NA,5,9,51,51,NA,NA,51,58,58,NA,10,48,27,27,NA,NA,27,153,153,NA,141,12,37,37,NA,26,11,844,729,115,NA,844,70,70,NA,NA,70,28,28,NA,28,NA
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,28386,11246,17140,2318,26068,1197,1197,NA,475,722,540,540,NA,203,337,479,479,NA,232,247,384,384,NA,34,350,689,689,NA,NA,689,569,569,NA,60,509,503,503,NA,NA,503,1056,1056,NA,454,602,953,953,NA,75,878,20385,3245,17140,NA,20385,846,846,NA,NA,846,785,785,NA,785,NA
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,419,419,0,167,252,135,135,NA,135,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,43,43,NA,NA,43,0,0,NA,0,0,3,3,NA,NA,3,30,30,NA,30,0,2,2,NA,2,0,198,198,0,NA,198,8,8,NA,NA,8,0,0,NA,0,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,192,192,0,80,112,0,0,NA,0,NA,4,4,NA,4,0,0,0,NA,0,NA,1,1,NA,1,0,34,34,NA,NA,34,0,0,NA,0,NA,0,0,NA,NA,0,75,75,NA,75,0,0,0,NA,0,NA,78,78,0,NA,78,0,0,NA,NA,0,0,0,NA,0,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,9,9,0,6,3,2,2,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,1,1,NA,NA,1,6,6,NA,6,NA
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,15282,4998,10284,1220,14062,918,918,NA,322,596,180,180,NA,0,180,141,141,NA,34,107,306,306,NA,25,281,276,276,NA,NA,276,317,317,NA,10,307,501,501,NA,NA,501,303,303,NA,172,131,613,613,NA,7,606,10495,211,10284,NA,10495,582,582,NA,NA,582,650,650,NA,650,NA
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,6786,5488,1298,1107,5679,326,326,NA,227,99,570,570,NA,386,184,159,159,NA,0,159,205,205,NA,35,170,329,329,NA,NA,329,351,351,NA,60,291,608,608,NA,NA,608,498,498,NA,32,466,634,634,NA,17,617,2038,740,1298,NA,2038,718,718,NA,NA,718,350,350,NA,350,NA
