Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,430,363,67,154,276,43,43,NA,24,19,44,44,NA,36,8,1,1,NA,0,1,0,0,NA,0,0,35,35,NA,NA,35,1,1,NA,0,1,45,45,NA,NA,45,90,90,NA,64,26,12,12,NA,1,11,94,27,67,0,94,36,36,NA,NA,36,29,29,NA,29,NA
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,140,124,16,32,108,24,24,NA,12,12,8,8,NA,4,4,1,1,NA,0,1,0,0,NA,0,0,9,9,NA,NA,9,0,0,NA,0,0,16,16,NA,NA,16,29,29,NA,3,26,1,1,NA,1,0,17,1,16,0,17,23,23,NA,NA,23,12,12,NA,12,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,355,355,0,10,345,3,3,NA,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,0,0,NA,0,0,1,1,NA,NA,1,7,7,NA,7,0,0,0,NA,0,0,343,343,0,0,343,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,59416,58284,1132,14208,45208,6119,6119,NA,647,5472,4196,4196,NA,235,3961,3830,3830,NA,0,3830,645,645,NA,0,645,8630,8630,NA,NA,8630,3317,3317,NA,63,3254,3976,3976,NA,NA,3976,5967,5967,NA,1992,3975,4238,4238,NA,294,3944,3893,2761,1132,11,3882,3639,3639,NA,NA,3639,10966,10966,NA,10966,NA
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,60182,58872,1310,17004,43178,4476,4476,NA,1042,3434,6589,6589,NA,3019,3570,3134,3134,NA,226,2908,3121,3121,NA,0,3121,8519,8519,NA,NA,8519,3231,3231,NA,232,2999,4039,4039,NA,NA,4039,6560,6560,NA,1755,4805,3508,3508,NA,293,3215,3168,1858,1310,18,3150,3418,3418,NA,NA,3418,10419,10419,NA,10419,NA
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,1742,1652,90,389,1353,191,191,NA,12,179,120,120,NA,86,34,22,22,NA,0,22,25,25,NA,0,25,266,266,NA,NA,266,187,187,NA,32,155,182,182,NA,NA,182,213,213,NA,127,86,71,71,NA,7,64,134,44,90,0,134,206,206,NA,NA,206,125,125,NA,125,NA
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,695,663,32,302,393,10,10,NA,10,0,60,60,NA,60,0,4,4,NA,0,4,25,25,NA,0,25,95,95,NA,NA,95,14,14,NA,4,10,10,10,NA,NA,10,116,116,NA,115,1,6,6,NA,6,0,52,20,32,0,52,196,196,NA,NA,196,107,107,NA,107,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,704,684,20,397,307,0,0,NA,0,0,33,33,NA,0,33,123,123,NA,123,0,0,0,NA,0,0,8,8,NA,NA,8,34,34,NA,0,34,5,5,NA,NA,5,0,0,NA,0,0,321,321,NA,274,47,177,157,20,0,177,3,3,NA,NA,3,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,47,47,NA,NA,47,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,6,6,NA,NA,6,0,0,NA,NA,0,10,10,NA,NA,10,0,0,NA,NA,0,7,7,NA,NA,7,0,0,NA,NA,0,24,24,NA,NA,24,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,5082,5046,36,1363,3719,0,0,NA,0,0,0,0,NA,0,0,910,910,NA,889,21,0,0,NA,0,0,3009,3009,NA,NA,3009,63,63,NA,63,0,549,549,NA,NA,549,265,265,NA,265,0,146,146,NA,146,0,140,104,36,0,140,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,45,45,NA,14,31,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,NA,4,5,5,NA,NA,5,10,10,NA,NA,10,0,0,NA,NA,0,5,5,NA,NA,5,0,0,NA,0,0,4,4,NA,NA,4,14,14,NA,14,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,26,26,NA,12,14,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,5,5,NA,NA,5,0,0,NA,NA,0,5,5,NA,NA,5,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,NA,4,12,12,NA,12,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,6,6,NA,1,5,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,NA,4,1,1,NA,1,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,46,46,NA,7,39,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,20,20,NA,NA,20,14,14,NA,NA,14,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,NA,4,7,7,NA,7,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,74262,32302,41960,6728,67534,2947,2947,NA,1142,1805,1481,1481,NA,791,690,1448,1448,NA,649,799,1101,1101,NA,110,991,2122,2122,NA,NA,2122,1431,1431,NA,265,1166,1275,1275,NA,NA,1275,3148,3148,NA,1455,1693,2383,2383,NA,166,2217,52787,10827,41960,0,52787,1989,1989,NA,NA,1989,2150,2150,NA,2150,NA
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,14104,9252,4852,1642,12462,2136,2136,NA,331,1805,306,306,NA,82,224,927,927,NA,385,542,433,433,NA,0,433,602,602,NA,NA,602,609,609,NA,0,609,780,780,NA,NA,780,346,346,NA,0,346,1026,1026,NA,139,887,4852,0,4852,0,4852,1382,1382,NA,NA,1382,705,705,NA,705,NA
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,11705,11705,NA,733,10972,1655,1655,NA,0,1655,343,343,NA,0,343,626,626,NA,0,626,756,756,NA,0,756,1216,1216,NA,NA,1216,865,865,NA,0,865,1136,1136,NA,NA,1136,1378,1378,NA,0,1378,1236,1236,NA,0,1236,310,310,NA,0,310,1451,1451,NA,NA,1451,733,733,NA,733,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,16984,4157,12827,785,16199,0,0,NA,0,0,39,39,NA,39,0,0,0,NA,0,0,0,0,NA,0,0,173,173,NA,NA,173,26,26,NA,26,0,0,0,NA,NA,0,576,576,NA,571,5,7,7,NA,7,0,16021,3194,12827,0,16021,0,0,NA,NA,0,142,142,NA,142,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,2555,1070,1485,77,2478,0,0,NA,0,0,1,1,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,64,64,NA,NA,64,0,0,NA,0,0,0,0,NA,NA,0,41,41,NA,41,0,3,3,NA,3,0,2414,929,1485,0,2414,0,0,NA,NA,0,32,32,NA,32,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,37631,16691,20940,3448,34183,1499,1499,NA,580,919,764,764,NA,415,349,772,772,NA,343,429,597,597,NA,54,543,1135,1135,NA,NA,1135,763,763,NA,149,614,681,681,NA,NA,681,1633,1633,NA,721,912,1265,1265,NA,91,1174,26375,5435,20940,0,26375,1052,1052,NA,NA,1052,1095,1095,NA,1095,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,36463,15443,21020,3273,33190,1418,1418,NA,548,870,717,717,NA,372,345,671,671,NA,303,368,501,501,NA,55,446,1043,1043,NA,NA,1043,691,691,NA,115,576,605,605,NA,NA,605,1503,1503,NA,725,778,1121,1121,NA,75,1046,26175,5155,21020,0,26175,938,938,NA,NA,938,1080,1080,NA,1080,NA
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,1446,1349,97,192,1254,25,25,NA,21,4,122,122,NA,115,7,23,23,NA,0,23,5,5,NA,0,5,163,163,NA,NA,163,50,50,NA,36,14,94,94,NA,NA,94,80,80,NA,2,78,40,40,NA,0,40,765,668,97,0,765,61,61,NA,NA,61,18,18,NA,18,NA
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,569,470,99,52,517,34,34,NA,18,16,11,11,NA,6,5,6,6,NA,3,3,3,3,NA,1,2,18,18,NA,NA,18,2,2,NA,1,1,10,10,NA,NA,10,15,15,NA,12,3,5,5,NA,0,5,447,348,99,0,447,7,7,NA,NA,7,11,11,NA,11,NA
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,2057,1634,423,1038,1019,13,13,NA,0,13,93,93,NA,0,93,27,27,NA,0,27,10,10,NA,0,10,96,96,NA,NA,96,11,11,NA,0,11,100,100,NA,NA,100,38,38,NA,0,38,69,69,NA,6,63,560,137,423,0,560,8,8,NA,NA,8,1032,1032,NA,1032,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,1982,1469,513,1183,799,8,8,NA,1,7,16,16,NA,16,0,5,5,NA,0,5,10,10,NA,0,10,54,54,NA,NA,54,10,10,NA,6,4,16,16,NA,NA,16,188,188,NA,102,86,22,22,NA,10,12,580,67,513,0,580,25,25,NA,NA,25,1048,1048,NA,1048,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,48,34,14,7,41,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,3,3,NA,0,3,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,37,23,14,0,37,0,0,NA,NA,0,7,7,NA,7,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,2,1,1,0,2,1,1,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,0,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,0,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,52,52,0,1,51,1,1,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,4,4,NA,0,4,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,47,47,0,0,47,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,73657,31697,41960,6695,66962,2919,2919,NA,1128,1791,1481,1481,NA,793,688,1443,1443,NA,646,797,1097,1097,NA,109,988,2008,2008,NA,NA,2008,1418,1418,NA,255,1163,1238,1238,NA,NA,1238,3137,3137,NA,1446,1691,2341,2341,NA,156,2185,52549,10589,41960,0,52549,1864,1864,NA,NA,1864,2162,2162,NA,2162,NA
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,4903,4264,639,793,4110,166,166,NA,62,104,86,86,NA,71,15,88,88,NA,65,23,37,37,NA,9,28,184,184,NA,NA,184,137,137,NA,35,102,91,91,NA,NA,91,403,403,NA,332,71,101,101,NA,43,58,3305,2666,639,0,3305,129,129,NA,NA,129,176,176,NA,176,NA
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,70171,28211,41960,6514,63657,2916,2916,NA,1128,1788,1468,1468,NA,783,685,1435,1435,NA,646,789,1096,1096,NA,109,987,1970,1970,NA,NA,1970,1419,1419,NA,257,1162,1244,1244,NA,NA,1244,3135,3135,NA,1446,1689,2197,2197,NA,157,2040,49449,7489,41960,0,49449,1854,1854,NA,NA,1854,1988,1988,NA,1988,NA
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,2171,2168,3,659,1512,279,279,NA,279,0,11,11,NA,11,0,0,0,NA,0,0,0,0,NA,0,0,122,122,NA,NA,122,7,7,NA,0,7,4,4,NA,NA,4,272,272,NA,272,0,15,15,NA,15,0,1371,1368,3,NA,1371,8,8,NA,NA,8,82,82,NA,82,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,845,842,3,166,679,0,0,NA,0,NA,6,6,NA,6,0,0,0,NA,0,NA,1,1,NA,1,0,97,97,NA,NA,97,0,0,NA,0,NA,0,0,NA,NA,0,158,158,NA,158,0,1,1,NA,1,NA,582,579,3,NA,582,0,0,NA,NA,0,0,0,NA,0,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,23,23,0,20,3,2,2,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,NA,NA,1,20,20,NA,20,NA
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,38224,16776,21448,4172,34052,2469,2469,NA,982,1487,615,615,NA,185,430,418,418,NA,104,314,903,903,NA,100,803,995,995,NA,NA,995,794,794,NA,118,676,1046,1046,NA,NA,1046,1575,1575,NA,1029,546,1422,1422,NA,66,1356,25095,3647,21448,0,25095,1304,1304,NA,NA,1304,1588,1588,NA,1588,NA
