Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,229,207,22,97,132,32,32,NA,16,16,22,22,NA,16,6,1,1,NA,0,1,0,0,NA,0,0,10,10,NA,NA,10,0,0,NA,0,0,23,23,NA,NA,23,55,55,NA,42,13,10,10,NA,1,9,24,2,22,0,24,30,30,NA,NA,30,22,22,NA,22,NA
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,86,80,6,25,61,21,21,NA,12,9,3,3,NA,0,3,1,1,NA,0,1,0,0,NA,0,0,9,9,NA,NA,9,0,0,NA,0,0,2,2,NA,NA,2,13,13,NA,0,13,1,1,NA,1,0,7,1,6,0,7,17,17,NA,NA,17,12,12,NA,12,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,237,237,0,5,232,3,3,NA,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,1,1,NA,NA,1,2,2,NA,2,0,0,0,NA,0,0,231,231,0,0,231,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,39184,38901,283,9884,29300,3946,3946,NA,295,3651,2871,2871,NA,235,2636,2569,2569,NA,0,2569,308,308,NA,0,308,5146,5146,NA,NA,5146,2274,2274,NA,63,2211,2712,2712,NA,NA,2712,4155,4155,NA,1643,2512,2850,2850,NA,198,2652,2477,2194,283,9,2468,2435,2435,NA,NA,2435,7441,7441,NA,7441,NA
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,38541,37967,574,10818,27723,2674,2674,NA,690,1984,3568,3568,NA,1031,2537,2059,2059,NA,116,1943,1755,1755,NA,0,1755,5144,5144,NA,NA,5144,2080,2080,NA,151,1929,2694,2694,NA,NA,2694,4633,4633,NA,1258,3375,2421,2421,NA,198,2223,1887,1313,574,10,1877,2262,2262,NA,NA,2262,7364,7364,NA,7364,NA
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,1142,1067,75,217,925,141,141,NA,9,132,74,74,NA,56,18,21,21,NA,0,21,4,4,NA,0,4,148,148,NA,NA,148,114,114,NA,22,92,132,132,NA,NA,132,158,158,NA,90,68,44,44,NA,2,42,102,27,75,0,102,166,166,NA,NA,166,38,38,NA,38,NA
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,487,458,29,160,327,9,9,NA,9,0,33,33,NA,33,0,3,3,NA,0,3,4,4,NA,0,4,68,68,NA,NA,68,4,4,NA,0,4,9,9,NA,NA,9,79,79,NA,78,1,2,2,NA,2,0,42,13,29,0,42,196,196,NA,NA,196,38,38,NA,38,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,517,508,9,327,190,0,0,NA,0,0,33,33,NA,0,33,123,123,NA,123,0,0,0,NA,0,0,0,0,NA,NA,0,34,34,NA,0,34,0,0,NA,NA,0,0,0,NA,0,0,236,236,NA,204,32,88,79,9,0,88,3,3,NA,NA,3,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,26,26,NA,NA,26,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,6,6,NA,NA,6,0,0,NA,NA,0,10,10,NA,NA,10,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,10,10,NA,NA,10,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,2800,2800,0,763,2037,0,0,NA,0,0,0,0,NA,0,0,554,554,NA,554,0,0,0,NA,0,0,1549,1549,NA,NA,1549,63,63,NA,63,0,438,438,NA,NA,438,0,0,NA,0,0,146,146,NA,146,0,50,50,0,0,50,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,35,35,NA,14,21,0,0,NA,NA,0,2,2,NA,NA,2,0,0,NA,NA,0,0,0,NA,NA,0,3,3,NA,NA,3,5,5,NA,NA,5,5,5,NA,NA,5,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,0,0,3,3,NA,NA,3,14,14,NA,14,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,19,19,NA,8,11,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,NA,4,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,NA,4,8,8,NA,8,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,1,1,NA,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,1,1,NA,1,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,21,21,NA,4,17,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,14,14,NA,NA,14,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,4,4,NA,4,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,49794,21741,28053,4091,45703,2059,2059,NA,802,1257,966,966,NA,389,577,888,888,NA,437,451,705,705,NA,57,648,1324,1324,NA,NA,1324,945,945,NA,106,839,875,875,NA,NA,875,2005,2005,NA,817,1188,1685,1685,NA,107,1578,35567,7514,28053,0,35567,1399,1399,NA,NA,1399,1376,1376,NA,1376,NA
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,9294,6213,3081,856,8438,1326,1326,NA,69,1257,238,238,NA,41,197,484,484,NA,173,311,328,328,NA,0,328,457,457,NA,NA,457,423,423,NA,0,423,557,557,NA,NA,557,190,190,NA,0,190,691,691,NA,87,604,3081,0,3081,0,3081,1033,1033,NA,NA,1033,486,486,NA,486,NA
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,8039,8039,NA,548,7491,1133,1133,NA,0,1133,292,292,NA,0,292,362,362,NA,0,362,492,492,NA,0,492,707,707,NA,NA,707,573,573,NA,0,573,776,776,NA,NA,776,999,999,NA,0,999,895,895,NA,0,895,230,230,NA,0,230,1032,1032,NA,NA,1032,548,548,NA,548,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,11489,2584,8905,402,11087,0,0,NA,0,0,3,3,NA,3,0,0,0,NA,0,0,0,0,NA,0,0,48,48,NA,NA,48,0,0,NA,0,0,0,0,NA,NA,0,295,295,NA,293,2,0,0,NA,0,0,11037,2132,8905,0,11037,0,0,NA,NA,0,106,106,NA,106,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,1584,492,1092,28,1556,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,4,4,NA,NA,4,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1552,460,1092,0,1552,0,0,NA,NA,0,28,28,NA,28,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,25311,11272,14039,2103,23208,1047,1047,NA,401,646,511,511,NA,210,301,478,478,NA,224,254,383,383,NA,29,354,713,713,NA,NA,713,488,488,NA,60,428,454,454,NA,NA,454,1058,1058,NA,409,649,898,898,NA,57,841,17821,3782,14039,0,17821,747,747,NA,NA,747,713,713,NA,713,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,24331,10317,14014,1978,22353,990,990,NA,389,601,449,449,NA,177,272,407,407,NA,211,196,320,320,NA,27,293,618,618,NA,NA,618,471,471,NA,45,426,438,438,NA,NA,438,936,936,NA,398,538,788,788,NA,50,738,17581,3567,14014,0,17581,652,652,NA,NA,652,681,681,NA,681,NA
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,1019,976,43,69,950,17,17,NA,14,3,26,26,NA,20,6,23,23,NA,0,23,3,3,NA,0,3,86,86,NA,NA,86,29,29,NA,17,12,85,85,NA,NA,85,31,31,NA,0,31,40,40,NA,0,40,624,581,43,0,624,37,37,NA,NA,37,18,18,NA,18,NA
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,375,310,65,41,334,23,23,NA,13,10,9,9,NA,4,5,3,3,NA,2,1,2,2,NA,1,1,8,8,NA,NA,8,2,2,NA,1,1,6,6,NA,NA,6,12,12,NA,11,1,2,2,NA,0,2,293,228,65,0,293,6,6,NA,NA,6,9,9,NA,9,NA
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,974,917,57,588,386,1,1,NA,0,1,68,68,NA,0,68,19,19,NA,0,19,0,0,NA,0,0,44,44,NA,NA,44,8,8,NA,0,8,53,53,NA,NA,53,25,25,NA,0,25,37,37,NA,3,34,126,69,57,0,126,8,8,NA,NA,8,585,585,NA,585,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,825,773,52,639,186,7,7,NA,0,7,7,7,NA,7,0,4,4,NA,0,4,0,0,NA,0,0,21,21,NA,NA,21,3,3,NA,0,3,9,9,NA,NA,9,80,80,NA,50,30,15,15,NA,3,12,77,25,52,0,77,23,23,NA,NA,23,579,579,NA,579,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,21,20,1,7,14,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,3,3,NA,0,3,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,10,9,1,0,10,0,0,NA,NA,0,7,7,NA,7,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,0,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,0,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,20,20,0,0,20,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,20,20,0,0,20,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,49349,21296,28053,4056,45293,2038,2038,NA,790,1248,958,958,NA,391,567,885,885,NA,435,450,702,702,NA,56,646,1197,1197,NA,NA,1197,936,936,NA,96,840,853,853,NA,NA,853,1994,1994,NA,807,1187,1658,1658,NA,97,1561,35401,7348,28053,0,35401,1343,1343,NA,NA,1343,1384,1384,NA,1384,NA
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,2858,2639,219,452,2406,110,110,NA,40,70,52,52,NA,38,14,53,53,NA,39,14,23,23,NA,6,17,107,107,NA,NA,107,92,92,NA,19,73,74,74,NA,NA,74,271,271,NA,221,50,57,57,NA,35,22,1874,1655,219,0,1874,91,91,NA,NA,91,54,54,NA,54,NA
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,47325,19272,28053,4046,43279,2037,2037,NA,790,1247,951,951,NA,386,565,879,879,NA,435,444,701,701,NA,56,645,1174,1174,NA,NA,1174,938,938,NA,102,836,865,865,NA,NA,865,1993,1993,NA,807,1186,1537,1537,NA,105,1432,33538,5485,28053,0,33538,1347,1347,NA,NA,1347,1365,1365,NA,1365,NA
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,1242,1242,0,418,824,225,225,NA,225,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,94,94,NA,NA,94,0,0,NA,0,0,4,4,NA,NA,4,153,153,NA,153,0,7,7,NA,7,0,718,718,0,NA,718,8,8,NA,NA,8,33,33,NA,33,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,461,461,0,107,354,0,0,NA,0,NA,4,4,NA,4,0,0,0,NA,0,NA,1,1,NA,1,0,46,46,NA,NA,46,0,0,NA,0,NA,0,0,NA,NA,0,102,102,NA,102,0,0,0,NA,0,NA,308,308,0,NA,308,0,0,NA,NA,0,0,0,NA,0,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,17,17,0,14,3,2,2,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,NA,NA,1,14,14,NA,14,NA
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,26459,10182,16277,2730,23729,1694,1694,NA,642,1052,557,557,NA,185,372,304,304,NA,104,200,578,578,NA,47,531,571,571,NA,NA,571,566,566,NA,56,510,759,759,NA,NA,759,898,898,NA,527,371,994,994,NA,7,987,17394,1117,16277,0,17394,982,982,NA,NA,982,1162,1162,NA,1162,NA
