Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,199,180,19,81,118,26,26,NA,14,12,20,20,NA,14,6,0,0,NA,0,0,0,0,NA,0,0,9,9,NA,NA,9,0,0,NA,0,0,23,23,NA,NA,23,49,49,NA,38,11,9,9,NA,1,8,21,2,19,0,21,28,28,NA,NA,28,14,14,NA,14,NA
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,77,71,6,25,52,17,17,NA,12,5,3,3,NA,0,3,0,0,NA,0,0,0,0,NA,0,0,7,7,NA,NA,7,0,0,NA,0,0,2,2,NA,NA,2,11,11,NA,0,11,1,1,NA,1,0,7,1,6,0,7,17,17,NA,NA,17,12,12,NA,12,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,188,188,0,5,183,3,3,NA,3,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,2,2,NA,2,0,0,0,NA,0,0,183,183,0,0,183,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,33797,33540,257,8880,24917,3488,3488,NA,271,3217,2559,2559,NA,235,2324,2272,2272,NA,0,2272,287,287,NA,0,287,4409,4409,NA,NA,4409,1970,1970,NA,63,1907,2389,2389,NA,NA,2389,3709,3709,NA,1515,2194,2507,2507,NA,175,2332,1477,1220,257,6,1471,2115,2115,NA,NA,2115,6615,6615,NA,6615,NA
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,33907,33393,514,9632,24275,2307,2307,NA,672,1635,3122,3122,NA,869,2253,1814,1814,NA,95,1719,1562,1562,NA,0,1562,4414,4414,NA,NA,4414,1804,1804,NA,135,1669,2349,2349,NA,NA,2349,4134,4134,NA,1141,2993,2166,2166,NA,171,1995,1665,1151,514,8,1657,2029,2029,NA,NA,2029,6541,6541,NA,6541,NA
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,985,911,74,177,808,111,111,NA,9,102,66,66,NA,49,17,21,21,NA,0,21,4,4,NA,0,4,119,119,NA,NA,119,82,82,NA,20,62,131,131,NA,NA,131,145,145,NA,83,62,40,40,NA,2,38,90,16,74,0,90,162,162,NA,NA,162,14,14,NA,14,NA
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,436,407,29,124,312,9,9,NA,9,0,28,28,NA,28,0,3,3,NA,0,3,4,4,NA,0,4,60,60,NA,NA,60,4,4,NA,0,4,9,9,NA,NA,9,72,72,NA,71,1,2,2,NA,2,0,35,6,29,0,35,196,196,NA,NA,196,14,14,NA,14,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,457,448,9,300,157,0,0,NA,0,0,33,33,NA,0,33,123,123,NA,123,0,0,0,NA,0,0,0,0,NA,NA,0,34,34,NA,0,34,0,0,NA,NA,0,0,0,NA,0,0,206,206,NA,177,29,58,49,9,0,58,3,3,NA,NA,3,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,26,26,NA,NA,26,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,6,6,NA,NA,6,0,0,NA,NA,0,10,10,NA,NA,10,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,10,10,NA,NA,10,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,2517,2517,0,673,1844,0,0,NA,0,0,0,0,NA,0,0,473,473,NA,473,0,0,0,NA,0,0,1420,1420,NA,NA,1420,63,63,NA,63,0,374,374,NA,NA,374,0,0,NA,0,0,137,137,NA,137,0,50,50,0,0,50,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,28,28,NA,12,16,0,0,NA,NA,0,2,2,NA,NA,2,0,0,NA,NA,0,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,5,5,NA,NA,5,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,0,0,3,3,NA,NA,3,12,12,NA,12,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,17,17,NA,7,10,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,NA,4,7,7,NA,7,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,1,1,NA,1,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,1,1,NA,1,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,16,16,NA,4,12,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,9,9,NA,NA,9,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,4,4,NA,4,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,43177,18771,24406,3555,39622,1798,1798,NA,714,1084,824,824,NA,322,502,768,768,NA,376,392,603,603,NA,51,552,1117,1117,NA,NA,1117,801,801,NA,92,709,750,750,NA,NA,750,1720,1720,NA,717,1003,1478,1478,NA,104,1374,30895,6489,24406,0,30895,1244,1244,NA,NA,1244,1179,1179,NA,1179,NA
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,8184,5521,2663,804,7380,1153,1153,NA,69,1084,208,208,NA,36,172,447,447,NA,173,274,328,328,NA,0,328,406,406,NA,NA,406,353,353,NA,0,353,481,481,NA,NA,481,190,190,NA,0,190,603,603,NA,85,518,2663,0,2663,0,2663,911,911,NA,NA,911,441,441,NA,441,NA
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,6995,6995,NA,545,6450,981,981,NA,0,981,262,262,NA,0,262,321,321,NA,0,321,407,407,NA,0,407,602,602,NA,NA,602,480,480,NA,0,480,638,638,NA,NA,638,848,848,NA,0,848,784,784,NA,0,784,203,203,NA,0,203,924,924,NA,NA,924,545,545,NA,545,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,10042,2247,7795,349,9693,0,0,NA,0,0,3,3,NA,3,0,0,0,NA,0,0,0,0,NA,0,0,37,37,NA,NA,37,0,0,NA,0,0,0,0,NA,NA,0,254,254,NA,253,1,0,0,NA,0,0,9655,1860,7795,0,9655,0,0,NA,NA,0,93,93,NA,93,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,1283,376,907,26,1257,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,3,3,NA,NA,3,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1254,347,907,0,1254,0,0,NA,NA,0,26,26,NA,26,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,21978,9753,12225,1831,20147,911,911,NA,353,558,433,433,NA,176,257,420,420,NA,196,224,327,327,NA,25,302,598,598,NA,NA,598,407,407,NA,50,357,393,393,NA,NA,393,915,915,NA,362,553,788,788,NA,55,733,15500,3275,12225,0,15500,672,672,NA,NA,672,614,614,NA,614,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,21059,8878,12181,1716,19343,867,867,NA,351,516,386,386,NA,145,241,345,345,NA,178,167,275,275,NA,25,250,517,517,NA,NA,517,404,404,NA,41,363,373,373,NA,NA,373,794,794,NA,345,449,690,690,NA,49,641,15251,3070,12181,0,15251,575,575,NA,NA,575,582,582,NA,582,NA
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,921,885,36,59,862,13,13,NA,12,1,21,21,NA,15,6,23,23,NA,0,23,3,3,NA,0,3,76,76,NA,NA,76,25,25,NA,14,11,83,83,NA,NA,83,27,27,NA,0,27,40,40,NA,0,40,555,519,36,0,555,37,37,NA,NA,37,18,18,NA,18,NA
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,325,267,58,34,291,20,20,NA,11,9,7,7,NA,2,5,3,3,NA,2,1,1,1,NA,1,0,7,7,NA,NA,7,2,2,NA,1,1,6,6,NA,NA,6,11,11,NA,10,1,1,1,NA,0,1,254,196,58,0,254,6,6,NA,NA,6,7,7,NA,7,NA
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,788,734,54,466,322,0,0,NA,0,0,48,48,NA,0,48,17,17,NA,0,17,0,0,NA,0,0,38,38,NA,NA,38,7,7,NA,0,7,46,46,NA,NA,46,22,22,NA,0,22,31,31,NA,3,28,108,54,54,0,108,8,8,NA,NA,8,463,463,NA,463,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,678,628,50,510,168,7,7,NA,0,7,7,7,NA,7,0,3,3,NA,0,3,0,0,NA,0,0,19,19,NA,NA,19,3,3,NA,0,3,9,9,NA,NA,9,70,70,NA,45,25,14,14,NA,2,12,67,17,50,0,67,23,23,NA,NA,23,456,456,NA,456,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,17,16,1,7,10,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,3,3,NA,0,3,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,6,5,1,0,6,0,0,NA,NA,0,7,7,NA,7,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,0,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,0,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,13,13,0,0,13,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,13,13,0,0,13,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,42812,18406,24406,3520,39292,1780,1780,NA,704,1076,815,815,NA,323,492,765,765,NA,374,391,601,601,NA,50,551,1020,1020,NA,NA,1020,789,789,NA,82,707,729,729,NA,NA,729,1709,1709,NA,707,1002,1450,1450,NA,94,1356,30750,6344,24406,0,30750,1218,1218,NA,NA,1218,1186,1186,NA,1186,NA
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,2354,2173,181,381,1973,99,99,NA,36,63,43,43,NA,31,12,30,30,NA,27,3,21,21,NA,5,16,80,80,NA,NA,80,81,81,NA,16,65,57,57,NA,NA,57,237,237,NA,192,45,56,56,NA,34,22,1524,1343,181,0,1524,86,86,NA,NA,86,40,40,NA,40,NA
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,41101,16695,24406,3515,37586,1779,1779,NA,704,1075,810,810,NA,320,490,759,759,NA,374,385,600,600,NA,50,550,998,998,NA,NA,998,794,794,NA,91,703,738,738,NA,NA,738,1708,1708,NA,707,1001,1348,1348,NA,102,1246,29173,4767,24406,0,29173,1227,1227,NA,NA,1227,1167,1167,NA,1167,NA
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,1000,1000,0,355,645,207,207,NA,207,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,83,83,NA,NA,83,0,0,NA,0,0,3,3,NA,NA,3,113,113,NA,113,0,5,5,NA,5,0,551,551,0,NA,551,8,8,NA,NA,8,30,30,NA,30,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,372,372,0,105,267,0,0,NA,0,NA,4,4,NA,4,0,0,0,NA,0,NA,1,1,NA,1,0,43,43,NA,NA,43,0,0,NA,0,NA,0,0,NA,NA,0,100,100,NA,100,0,0,0,NA,0,NA,224,224,0,NA,224,0,0,NA,NA,0,0,0,NA,0,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,12,12,0,9,3,2,2,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,NA,NA,1,9,9,NA,9,NA
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,22502,8121,14381,2286,20216,1453,1453,NA,554,899,430,430,NA,118,312,270,270,NA,104,166,488,488,NA,41,447,444,444,NA,NA,444,464,464,NA,42,422,670,670,NA,NA,670,767,767,NA,427,340,869,869,NA,7,862,14777,396,14381,0,14777,877,877,NA,NA,877,993,993,NA,993,NA
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,11603,9790,1813,2054,9549,581,581,NA,461,120,778,778,NA,504,274,261,261,NA,70,191,320,320,NA,51,269,497,497,NA,NA,497,519,519,NA,92,427,782,782,NA,NA,782,1110,1110,NA,287,823,918,918,NA,17,901,4225,2412,1813,0,4225,1040,1040,NA,NA,1040,572,572,NA,572,NA
