Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.3.1,New cases of PW with hypertension detected,TOTAL,17,16,1,9,8,2,2,NA,2,0,3,3,NA,2,1,0,0,NA,0,0,0,0,NA,0,0,2,2,NA,NA,2,0,0,NA,0,0,0,0,NA,NA,0,5,5,NA,4,1,1,1,NA,0,1,2,1,1,NA,2,1,1,NA,NA,1,1,1,NA,1,NA
M1 [Ante Natal Care (ANC)],1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution",TOTAL,8,8,0,2,6,2,2,NA,2,0,1,1,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,2,2,NA,NA,2,0,0,NA,0,0,0,0,NA,NA,0,1,1,NA,0,1,0,0,NA,0,0,1,1,0,NA,1,1,1,NA,NA,1,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.3.2,Number of Eclampsia cases managed during delivery,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs,TOTAL,4784,4752,32,1193,3591,535,535,NA,0,535,294,294,NA,40,254,400,400,NA,0,400,31,31,NA,0,31,562,562,NA,NA,562,281,281,NA,40,241,399,399,NA,NA,399,572,572,NA,230,342,450,450,NA,28,422,195,163,32,NA,195,210,210,NA,NA,210,855,855,NA,855,NA
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,4891,4865,26,1246,3645,253,253,NA,116,137,471,471,NA,106,365,335,335,NA,13,322,277,277,NA,0,277,647,647,NA,NA,647,313,313,NA,40,273,370,370,NA,NA,370,567,567,NA,93,474,375,375,NA,28,347,197,171,26,NA,197,236,236,NA,NA,236,850,850,NA,850,NA
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,110,108,2,11,99,1,1,NA,1,0,10,10,NA,7,3,2,2,NA,0,2,1,1,NA,0,1,6,6,NA,NA,6,0,0,NA,0,0,29,29,NA,NA,29,8,8,NA,3,5,9,9,NA,0,9,3,1,2,NA,3,41,41,NA,NA,41,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,32,32,0,6,26,1,1,NA,1,0,2,2,NA,2,0,0,0,NA,0,0,1,1,NA,0,1,6,6,NA,NA,6,0,0,NA,0,0,1,1,NA,NA,1,3,3,NA,3,0,0,0,NA,0,0,0,0,0,NA,0,18,18,NA,NA,18,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,66,57,9,28,38,0,0,NA,0,0,22,22,NA,0,22,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,35,35,NA,28,7,9,0,9,NA,9,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,10,10,NA,NA,10,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,10,10,NA,NA,10,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,195,195,0,40,155,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,155,155,NA,NA,155,40,40,NA,40,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,7,7,NA,5,2,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,5,5,NA,5,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,2,2,NA,2,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,2,2,NA,2,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,5743,2339,3404,368,5375,193,193,NA,69,124,80,80,NA,31,49,76,76,NA,34,42,63,63,NA,3,60,192,192,NA,NA,192,101,101,NA,10,91,98,98,NA,NA,98,225,225,NA,89,136,170,170,NA,7,163,4269,865,3404,NA,4269,151,151,NA,NA,151,125,125,NA,125,NA
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,1045,741,304,119,926,189,189,NA,65,124,22,22,NA,5,17,38,38,NA,0,38,43,43,NA,0,43,103,103,NA,NA,103,47,47,NA,0,47,56,56,NA,NA,56,38,38,NA,0,38,53,53,NA,7,46,304,0,304,NA,304,110,110,NA,NA,110,42,42,NA,42,NA
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,925,925,NA,88,837,114,114,NA,0,114,16,16,NA,0,16,41,41,NA,0,41,49,49,NA,0,49,132,132,NA,NA,132,60,60,NA,0,60,72,72,NA,NA,72,119,119,NA,0,119,100,100,NA,0,100,28,28,NA,NA,28,106,106,NA,NA,106,88,88,NA,88,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,1233,281,952,55,1178,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,9,9,NA,NA,9,0,0,NA,0,0,0,0,NA,NA,0,41,41,NA,41,0,0,0,NA,0,0,1169,217,952,NA,1169,0,0,NA,NA,0,14,14,NA,14,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,45,5,40,5,40,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,40,0,40,NA,40,0,0,NA,NA,0,5,5,NA,5,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,2990,1255,1735,192,2798,103,103,NA,34,69,42,42,NA,17,25,39,39,NA,16,23,37,37,NA,2,35,102,102,NA,NA,102,58,58,NA,6,52,56,56,NA,NA,56,126,126,NA,48,78,85,85,NA,3,82,2194,459,1735,NA,2194,82,82,NA,NA,82,66,66,NA,66,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,2779,1110,1669,205,2574,90,90,NA,35,55,37,37,NA,14,23,37,37,NA,18,19,26,26,NA,1,25,91,91,NA,NA,91,55,55,NA,4,51,42,42,NA,NA,42,98,98,NA,41,57,85,85,NA,4,81,2061,392,1669,NA,2061,69,69,NA,NA,69,88,88,NA,88,NA
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,138,138,0,4,134,2,2,NA,2,0,2,2,NA,2,0,1,1,NA,0,1,0,0,NA,0,0,10,10,NA,NA,10,3,3,NA,0,3,6,6,NA,NA,6,0,0,NA,0,0,11,11,NA,0,11,99,99,0,NA,99,4,4,NA,NA,4,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,23,18,5,0,23,0,0,NA,0,0,1,1,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,0,0,NA,0,0,1,1,NA,NA,1,1,1,NA,0,1,0,0,NA,0,0,19,14,5,NA,19,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,115,104,11,75,40,0,0,NA,0,0,4,4,NA,0,4,2,2,NA,0,2,0,0,NA,0,0,4,4,NA,NA,4,0,0,NA,0,0,6,6,NA,NA,6,11,11,NA,0,11,0,0,NA,0,0,13,2,11,NA,13,0,0,NA,NA,0,75,75,NA,75,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,141,131,10,95,46,0,0,NA,0,0,4,4,NA,4,0,0,0,NA,0,0,0,0,NA,0,0,7,7,NA,NA,7,3,3,NA,0,3,2,2,NA,NA,2,28,28,NA,17,11,6,6,NA,0,6,10,0,10,NA,10,7,7,NA,NA,7,74,74,NA,74,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,4,4,0,1,3,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,3,3,NA,0,3,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,1,1,NA,1,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,5750,2346,3404,394,5356,193,193,NA,69,124,74,74,NA,31,43,76,76,NA,34,42,63,63,NA,3,60,193,193,NA,NA,193,113,113,NA,10,103,91,91,NA,NA,91,224,224,NA,89,135,170,170,NA,7,163,4254,850,3404,NA,4254,148,148,NA,NA,148,151,151,NA,151,NA
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,216,206,10,40,176,21,21,NA,5,16,3,3,NA,1,2,1,1,NA,1,0,3,3,NA,3,0,14,14,NA,NA,14,7,7,NA,3,4,2,2,NA,NA,2,26,26,NA,23,3,4,4,NA,4,0,109,99,10,NA,109,26,26,NA,NA,26,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,5524,2120,3404,394,5130,193,193,NA,69,124,74,74,NA,31,43,76,76,NA,34,42,63,63,NA,3,60,187,187,NA,NA,187,113,113,NA,10,103,92,92,NA,NA,92,224,224,NA,89,135,152,152,NA,7,145,4051,647,3404,NA,4051,148,148,NA,NA,148,151,151,NA,151,NA
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,31,31,0,16,15,16,16,NA,16,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,13,13,NA,NA,13,0,0,NA,0,0,2,2,NA,NA,2,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,31,31,0,22,9,0,0,NA,0,NA,2,2,NA,2,0,0,0,NA,0,NA,0,0,NA,0,0,9,9,NA,NA,9,0,0,NA,0,NA,0,0,NA,NA,0,20,20,NA,20,0,0,0,NA,0,NA,0,0,0,NA,0,0,0,NA,NA,0,0,0,NA,0,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,2,2,0,2,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,NA,0,0,0,NA,NA,0,2,2,NA,2,NA
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,3015,900,2115,223,2792,112,112,NA,0,112,18,18,NA,0,18,57,57,NA,34,23,49,49,NA,0,49,50,50,NA,NA,50,61,61,NA,0,61,116,116,NA,NA,116,107,107,NA,89,18,105,105,NA,7,98,2150,35,2115,NA,2150,97,97,NA,NA,97,93,93,NA,93,NA
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,1088,804,284,93,995,13,13,NA,0,13,77,77,NA,30,47,51,51,NA,0,51,39,39,NA,3,36,81,81,NA,NA,81,66,66,NA,10,56,118,118,NA,NA,118,102,102,NA,0,102,88,88,NA,7,81,309,25,284,NA,309,101,101,NA,NA,101,43,43,NA,43,NA
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,852,568,284,60,792,3,3,NA,0,3,43,43,NA,30,13,37,37,NA,0,37,10,10,NA,3,7,81,81,NA,NA,81,27,27,NA,10,17,84,84,NA,NA,84,103,103,NA,0,103,70,70,NA,7,63,295,11,284,NA,295,89,89,NA,NA,89,10,10,NA,10,NA
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,219,212,7,114,105,9,9,NA,8,1,14,14,NA,5,9,1,1,NA,0,1,9,9,NA,0,9,9,9,NA,NA,9,99,99,NA,88,11,13,13,NA,NA,13,46,46,NA,12,34,7,7,NA,1,6,7,0,7,NA,7,5,5,NA,NA,5,0,0,NA,0,NA
