Indicator,S.No.,Parameters,Type,SubDistrict-_Solapur-Total [(A+B) or (C+D)],SubDistrict-_Solapur-Public [A],SubDistrict-_Solapur-Private [B],SubDistrict-_Solapur-Urban [C],SubDistrict-_Solapur-Rural [D],SubDistrict-Akkalkot-Total [(A+B) or (C+D)],SubDistrict-Akkalkot-Public [A],SubDistrict-Akkalkot-Private [B],SubDistrict-Akkalkot-Urban [C],SubDistrict-Akkalkot-Rural [D],SubDistrict-Barshi-Total [(A+B) or (C+D)],SubDistrict-Barshi-Public [A],SubDistrict-Barshi-Private [B],SubDistrict-Barshi-Urban [C],SubDistrict-Barshi-Rural [D],SubDistrict-Karmala-Total [(A+B) or (C+D)],SubDistrict-Karmala-Public [A],SubDistrict-Karmala-Private [B],SubDistrict-Karmala-Urban [C],SubDistrict-Karmala-Rural [D],SubDistrict-Madha-Total [(A+B) or (C+D)],SubDistrict-Madha-Public [A],SubDistrict-Madha-Private [B],SubDistrict-Madha-Urban [C],SubDistrict-Madha-Rural [D],SubDistrict-Malshiras-Total [(A+B) or (C+D)],SubDistrict-Malshiras-Public [A],SubDistrict-Malshiras-Private [B],SubDistrict-Malshiras-Urban [C],SubDistrict-Malshiras-Rural [D],SubDistrict-Mangalvedhe-Total [(A+B) or (C+D)],SubDistrict-Mangalvedhe-Public [A],SubDistrict-Mangalvedhe-Private [B],SubDistrict-Mangalvedhe-Urban [C],SubDistrict-Mangalvedhe-Rural [D],SubDistrict-Mohol-Total [(A+B) or (C+D)],SubDistrict-Mohol-Public [A],SubDistrict-Mohol-Private [B],SubDistrict-Mohol-Urban [C],SubDistrict-Mohol-Rural [D],SubDistrict-Pandharpur-Total [(A+B) or (C+D)],SubDistrict-Pandharpur-Public [A],SubDistrict-Pandharpur-Private [B],SubDistrict-Pandharpur-Urban [C],SubDistrict-Pandharpur-Rural [D],SubDistrict-Sangole-Total [(A+B) or (C+D)],SubDistrict-Sangole-Public [A],SubDistrict-Sangole-Private [B],SubDistrict-Sangole-Urban [C],SubDistrict-Sangole-Rural [D],SubDistrict-Solapur North-Total [(A+B) or (C+D)],SubDistrict-Solapur North-Public [A],SubDistrict-Solapur North-Private [B],SubDistrict-Solapur North-Urban [C],SubDistrict-Solapur North-Rural [D],SubDistrict-Solapur South-Total [(A+B) or (C+D)],SubDistrict-Solapur South-Public [A],SubDistrict-Solapur South-Private [B],SubDistrict-Solapur South-Urban [C],SubDistrict-Solapur South-Rural [D],SubDistrict-Solapur Urban-Total [(A+B) or (C+D)],SubDistrict-Solapur Urban-Public [A],SubDistrict-Solapur Urban-Private [B],SubDistrict-Solapur Urban-Urban [C],SubDistrict-Solapur Urban-Rural [D]
M1 [Ante Natal Care (ANC)],1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9),TOTAL,49441,48842,599,14067,35374,3538,3538,NA,857,2681,5273,5273,NA,2309,2964,2546,2546,NA,167,2379,2350,2350,NA,0,2350,7106,7106,NA,NA,7106,2627,2627,NA,183,2444,3479,3479,NA,NA,3479,5615,5615,NA,1450,4165,2959,2959,NA,231,2728,2182,1583,599,15,2167,2911,2911,NA,NA,2911,8855,8855,NA,8855,NA
M1 [Ante Natal Care (ANC)],1.4.3,Number of PW having Hb level<7 (tested cases),TOTAL,1466,1389,77,295,1171,164,164,NA,10,154,91,91,NA,73,18,21,21,NA,0,21,11,11,NA,0,11,222,222,NA,NA,222,144,144,NA,26,118,181,181,NA,NA,181,184,184,NA,106,78,64,64,NA,6,58,114,37,77,0,114,196,196,NA,NA,196,74,74,NA,74,NA
M1 [Ante Natal Care (ANC)],1.4.4,Number of PW having severe anaemia (Hb<7) treated,TOTAL,583,554,29,219,364,9,9,NA,9,0,48,48,NA,48,0,3,3,NA,0,3,11,11,NA,0,11,88,88,NA,NA,88,7,7,NA,0,7,9,9,NA,NA,9,95,95,NA,94,1,6,6,NA,6,0,49,20,29,0,49,196,196,NA,NA,196,62,62,NA,62,NA
M1 [Ante Natal Care (ANC)],1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test),TOTAL,609,600,9,369,240,0,0,NA,0,0,33,33,NA,0,33,123,123,NA,123,0,0,0,NA,0,0,0,0,NA,NA,0,34,34,NA,0,34,0,0,NA,NA,0,0,0,NA,0,0,285,285,NA,246,39,131,122,9,0,131,3,3,NA,NA,3,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.2,Number of PW tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.5.3,Number of PW given insulin out of total tested positive for GDM,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.1.a,Number of PW tested using POC test for Syphilis,TOTAL,37,37,NA,NA,37,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,6,6,NA,NA,6,0,0,NA,NA,0,10,10,NA,NA,10,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,21,21,NA,NA,21,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.1.b,"Out of above, number of PW found sero positive for syphilis",TOTAL,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,NA,NA
M1 [Ante Natal Care (ANC)],1.6.2.a,Number of pregnant women tested for Syphilis,TOTAL,3877,3877,0,931,2946,0,0,NA,0,0,0,0,NA,0,0,722,722,NA,722,0,0,0,NA,0,0,2324,2324,NA,NA,2324,63,63,NA,63,0,549,549,NA,NA,549,0,0,NA,0,0,146,146,NA,146,0,73,73,0,0,73,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.b,Number of pregnant women tested found sero positive for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.d,Number of babies diagnosed with Congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M1 [Ante Natal Care (ANC)],1.6.2.e,Number of babies treated for congenital Syphilis,TOTAL,0,0,0,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,NA,0,NA
M2 [Deliveries],2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM),TOTAL,44,44,NA,14,30,0,0,NA,NA,0,3,3,NA,NA,3,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,NA,4,5,5,NA,NA,5,10,10,NA,NA,10,0,0,NA,NA,0,4,4,NA,NA,4,0,0,NA,0,0,4,4,NA,NA,4,14,14,NA,14,NA
M2 [Deliveries],2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.),TOTAL,23,23,NA,11,12,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,4,4,NA,NA,4,0,0,NA,NA,0,4,4,NA,NA,4,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,NA,4,11,11,NA,11,NA
M2 [Deliveries],2.1.2,Number of PW given Tablet Misoprostol during home delivery,TOTAL,6,6,NA,1,5,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,1,1,NA,NA,1,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,NA,4,1,1,NA,1,NA
M2 [Deliveries],2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery,TOTAL,44,44,NA,7,37,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,NA,0,20,20,NA,NA,20,13,13,NA,NA,13,0,0,NA,NA,0,0,0,NA,NA,0,0,0,NA,0,0,4,4,NA,NA,4,7,7,NA,7,NA
M2 [Deliveries],2.2,Number of Institutional Deliveries conducted (Including C-Sections),TOTAL,62050,27198,34852,5346,56704,2520,2520,NA,993,1527,1271,1271,NA,616,655,1071,1071,NA,545,526,913,913,NA,77,836,1784,1784,NA,NA,1784,1180,1180,NA,135,1045,1088,1088,NA,NA,1088,2628,2628,NA,1095,1533,2066,2066,NA,137,1929,44088,9236,34852,0,44088,1693,1693,NA,NA,1693,1748,1748,NA,1748,NA
M2 [Deliveries],2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery,TOTAL,11590,7881,3709,1319,10271,1787,1787,NA,260,1527,284,284,NA,66,218,648,648,NA,281,367,385,385,NA,0,385,555,555,NA,NA,555,556,556,NA,0,556,673,673,NA,NA,673,289,289,NA,0,289,855,855,NA,110,745,3709,0,3709,0,3709,1247,1247,NA,NA,1247,602,602,NA,602,NA
M2 [Deliveries],2.2.2,Number of newborns received 6 HBNC  visits after Institutional Delivery,TOTAL,9998,9998,NA,612,9386,1391,1391,NA,0,1391,328,328,NA,0,328,417,417,NA,0,417,634,634,NA,0,634,999,999,NA,NA,999,752,752,NA,0,752,1003,1003,NA,NA,1003,1273,1273,NA,0,1273,1079,1079,NA,0,1079,267,267,NA,0,267,1243,1243,NA,NA,1243,612,612,NA,612,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1,Total C -Section deliveries performed,TOTAL,14390,3358,11032,564,13826,0,0,NA,0,0,21,21,NA,21,0,0,0,NA,0,0,0,0,NA,0,0,107,107,NA,NA,107,3,3,NA,3,0,0,0,NA,NA,0,414,414,NA,409,5,7,7,NA,7,0,13714,2682,11032,0,13714,0,0,NA,NA,0,124,124,NA,124,NA
M3 [Number of Caesarean (C-Section) deliveries],3.1.1,"C-sections, performed at night (8 PM- 8 AM)",TOTAL,2165,776,1389,35,2130,0,0,NA,0,0,1,1,NA,1,0,0,0,NA,0,0,0,0,NA,0,0,25,25,NA,NA,25,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,3,3,NA,3,0,2105,716,1389,0,2105,0,0,NA,NA,0,31,31,NA,31,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.a,Live Birth - Male,TOTAL,31459,14095,17364,2760,28699,1283,1283,NA,505,778,662,662,NA,326,336,581,581,NA,286,295,495,495,NA,39,456,975,975,NA,NA,975,618,618,NA,74,544,568,568,NA,NA,568,1368,1368,NA,548,820,1098,1098,NA,77,1021,22006,4642,17364,0,22006,900,900,NA,NA,900,905,905,NA,905,NA
M4 [Pregnancy outcome & details of new-born],4.1.1.b,Live Birth - Female,TOTAL,30466,12978,17488,2581,27885,1212,1212,NA,477,735,608,608,NA,287,321,486,486,NA,257,229,416,416,NA,37,379,870,870,NA,NA,870,587,587,NA,60,527,532,532,NA,NA,532,1249,1249,NA,538,711,969,969,NA,60,909,21876,4388,17488,0,21876,796,796,NA,NA,796,865,865,NA,865,NA
M4 [Pregnancy outcome & details of new-born],4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy),TOTAL,1233,1190,43,134,1099,22,22,NA,18,4,67,67,NA,60,7,23,23,NA,0,23,3,3,NA,0,3,125,125,NA,NA,125,49,49,NA,36,13,89,89,NA,NA,89,80,80,NA,2,78,40,40,NA,0,40,670,627,43,0,670,47,47,NA,NA,47,18,18,NA,18,NA
M4 [Pregnancy outcome & details of new-born],4.1.3,Still Birth,TOTAL,480,395,85,44,436,29,29,NA,15,14,10,10,NA,5,5,5,5,NA,2,3,2,2,NA,1,1,13,13,NA,NA,13,2,2,NA,1,1,7,7,NA,NA,7,13,13,NA,11,2,3,3,NA,0,3,381,296,85,0,381,6,6,NA,NA,6,9,9,NA,9,NA
M4 [Pregnancy outcome & details of new-born],4.2,Abortion (spontaneous),TOTAL,1576,1305,271,849,727,10,10,NA,0,10,77,77,NA,0,77,21,21,NA,0,21,6,6,NA,0,6,57,57,NA,NA,57,9,9,NA,0,9,76,76,NA,NA,76,30,30,NA,0,30,53,53,NA,6,47,386,115,271,0,386,8,8,NA,NA,8,843,843,NA,843,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.a,MTP up to 12 weeks of pregnancy,TOTAL,1189,1134,55,918,271,7,7,NA,0,7,7,7,NA,7,0,5,5,NA,0,5,0,0,NA,0,0,40,40,NA,NA,40,4,4,NA,0,4,16,16,NA,NA,16,130,130,NA,68,62,18,18,NA,6,12,100,45,55,0,100,25,25,NA,NA,25,837,837,NA,837,NA
M4 [Pregnancy outcome & details of new-born],4.3.1.b,MTP more than 12 weeks of pregnancy,TOTAL,31,30,1,7,24,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,1,1,NA,NA,1,3,3,NA,0,3,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,20,19,1,0,20,0,0,NA,NA,0,7,7,NA,7,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.a,Post Abortion/ MTP Complications Identified,TOTAL,2,1,1,0,2,1,1,NA,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,0,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.2.b,Post Abortion/ MTP Complications Treated,TOTAL,1,0,1,0,1,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,1,0,1,0,1,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.3.3,Number of women provided with post abortion/ MTP contraception,TOTAL,39,39,0,0,39,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,39,39,0,0,39,0,0,NA,NA,0,0,0,NA,0,NA
M4 [Pregnancy outcome & details of new-born],4.4.1,Number of newborns weighed at birth,TOTAL,61562,26710,34852,5317,56245,2496,2496,NA,982,1514,1269,1269,NA,618,651,1067,1067,NA,543,524,910,910,NA,76,834,1686,1686,NA,NA,1686,1174,1174,NA,125,1049,1055,1055,NA,NA,1055,2618,2618,NA,1086,1532,2032,2032,NA,127,1905,43881,9029,34852,0,43881,1614,1614,NA,NA,1614,1760,1760,NA,1760,NA
M4 [Pregnancy outcome & details of new-born],4.4.2,Number of newborns having weight less than 2.5 kg,TOTAL,3731,3489,242,588,3143,136,136,NA,57,79,76,76,NA,61,15,72,72,NA,52,20,32,32,NA,7,25,147,147,NA,NA,147,123,123,NA,24,99,86,86,NA,NA,86,332,332,NA,267,65,73,73,NA,39,34,2454,2212,242,0,2454,119,119,NA,NA,119,81,81,NA,81,NA
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth ,TOTAL,58832,23980,34852,5261,53571,2494,2494,NA,982,1512,1259,1259,NA,611,648,1059,1059,NA,543,516,909,909,NA,76,833,1658,1658,NA,NA,1658,1176,1176,NA,128,1048,1061,1061,NA,NA,1061,2616,2616,NA,1086,1530,1887,1887,NA,128,1759,41401,6549,34852,0,41401,1605,1605,NA,NA,1605,1707,1707,NA,1707,NA
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,1778,1778,0,593,1185,225,225,NA,225,0,6,6,NA,6,0,0,0,NA,0,0,0,0,NA,0,0,119,119,NA,NA,119,0,0,NA,0,0,4,4,NA,NA,4,269,269,NA,269,0,11,11,NA,11,0,1054,1054,0,NA,1054,8,8,NA,NA,8,82,82,NA,82,NA
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,713,713,0,136,577,0,0,NA,0,NA,6,6,NA,6,0,0,0,NA,0,NA,1,1,NA,1,0,75,75,NA,NA,75,0,0,NA,0,NA,0,0,NA,NA,0,128,128,NA,128,0,1,1,NA,1,NA,502,502,0,NA,502,0,0,NA,NA,0,0,0,NA,0,NA
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,21,21,0,18,3,2,2,NA,0,2,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,NA,0,0,0,0,NA,0,0,0,0,0,0,0,1,1,NA,NA,1,18,18,NA,18,NA
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,33569,13586,19983,3393,30176,2104,2104,NA,833,1271,585,585,NA,185,400,349,349,NA,104,245,764,764,NA,67,697,787,787,NA,NA,787,682,682,NA,71,611,931,931,NA,NA,931,1141,1141,NA,669,472,1249,1249,NA,37,1212,22405,2422,19983,0,22405,1145,1145,NA,NA,1145,1427,1427,NA,1427,NA
